id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
11330,Raymond,Sommerville,Center,NEP,Neptunas Klaipeda,6.5,0,0,false,1,TRE,1,true,opponent
11331,Phlandrous,Fleming,Guard,CHE,NINERS Chemnitz,11.3,0,0,false,1,TOF,1,true,opponent
11332,Cobe,Williams,Guard,CHE,NINERS Chemnitz,10.9,0,0,false,1,TOF,1,true,opponent
11333,Darion,Atkins,Center,CHE,NINERS Chemnitz,9.7,0,0,false,1,TOF,1,true,opponent
11334,Stefan,Smith,Guard,CHE,NINERS Chemnitz,9.6,0,0,false,1,TOF,1,true,opponent
11335,Ben,Burnham,Forward,CHE,NINERS Chemnitz,9,0,0,false,1,TOF,1,true,opponent
11336,Urald,King,Forward,CHE,NINERS Chemnitz,9,0,0,false,1,TOF,1,true,opponent
11337,Jannis,Von Seckendorff,Forward,CHE,NINERS Chemnitz,8.4,0,0,false,1,TOF,1,true,opponent
11338,Alexander,Richardson,Center,CHE,NINERS Chemnitz,8,0,0,false,1,TOF,1,true,opponent
11339,Elias,Rodl,Forward,CHE,NINERS Chemnitz,5,0,0,false,1,TOF,1,true,opponent
11340,Yohan,Choupas,Guard,CHE,NINERS Chemnitz,5.6,0,0,false,1,TOF,1,true,opponent
11341,Mateo,Seric,Forward,CHE,NINERS Chemnitz,5.3,0,0,false,1,TOF,1,true,opponent
11342,Ben,Moore,Forward,PBC,PAOK Thessaloniki,12.3,0,0,false,1,MAN,2,true,opponent
11343,Marcus,Foster,Guard,PBC,PAOK Thessaloniki,12,0,0,false,1,MAN,2,true,opponent
11344,Trevor,Hudgins,Guard,PBC,PAOK Thessaloniki,11.8,0,0,false,1,MAN,2,true,opponent
11345,Raiquan,Gray,Forward,PBC,PAOK Thessaloniki,11.3,0,0,false,1,MAN,2,true,opponent
11346,Breein,Tyree,Guard,PBC,PAOK Thessaloniki,10.7,0,0,false,1,MAN,2,true,opponent
11347,Andrea,Trinchieri,Head Coach,PBC,PAOK Thessaloniki,10,0,0,false,1,MAN,2,true,opponent
11348,Naz,Mitrou-long,Guard,PBC,PAOK Thessaloniki,9.2,0,0,false,1,MAN,2,true,opponent
11349,Tomas,Dimsa,Forward,PBC,PAOK Thessaloniki,9,0,0,false,1,MAN,2,true,opponent
11350,Nikos,Persidis,Guard,PBC,PAOK Thessaloniki,6,0,0,false,1,MAN,2,true,opponent
11351,Dimitris,Kaklamanakis,Center,PBC,PAOK Thessaloniki,5.5,0,0,false,1,MAN,2,true,opponent
11352,Nasos,Bazinas,Guard,PBC,PAOK Thessaloniki,5,0,0,false,1,MAN,2,true,opponent
11353,Jaylen,Sims,Guard,ULM,Ratiopharm Ulm,11.6,0,0,false,1,BLK,2,true,opponent
11354,Oluwasimisola,Shittu,Center,ULM,Ratiopharm Ulm,11.3,0,0,false,1,BLK,2,true,opponent
11355,Ibi,Watson,Forward,ULM,Ratiopharm Ulm,11,0,0,false,1,BLK,2,true,opponent
11356,Michael,Rataj,Forward,ULM,Ratiopharm Ulm,7,0,0,false,1,BLK,2,true,opponent
11357,Devin,Schmidt,Guard,ULM,Ratiopharm Ulm,6.4,0,0,false,1,BLK,2,true,opponent
11358,Mohamed,Diakite,Forward,ULM,Ratiopharm Ulm,5.2,0,0,false,1,BLK,2,true,opponent
11359,Dwayne,Koroma,Forward,ULM,Ratiopharm Ulm,4.5,0,0,false,1,BLK,2,true,opponent
